FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
path=2008158967/api=apps/v1/flux-system/Deployment/credentials-sync-eventhub,High,Writable hostPath mount,0,1,1.0
path=2008158967/api=apps/v1/flux-system/Deployment/credentials-sync-eventhub,High,Insecure capabilities,0,1,1.0
path=3314971907/api=apps/v1//Deployment/redis,High,Writable hostPath mount,0,1,1.0
path=3314971907/api=apps/v1//Deployment/redis,High,Insecure capabilities,0,1,1.0
path=2264299642/api=apps/v1/secure/Deployment/frontend,High,Writable hostPath mount,0,1,1.0
path=2264299642/api=apps/v1/secure/Deployment/frontend,High,Insecure capabilities,0,1,1.0
path=2964837069/api=apps/v1/monitoring/Deployment/mysql-exporter,High,Writable hostPath mount,0,1,1.0
path=2964837069/api=apps/v1/monitoring/Deployment/mysql-exporter,High,Insecure capabilities,0,1,1.0
path=1633278120/api=apps/v1/kube-system/Deployment/seldon-spartakus-volunteer,High,Writable hostPath mount,0,1,1.0
path=1633278120/api=apps/v1/kube-system/Deployment/seldon-spartakus-volunteer,High,Insecure capabilities,0,1,1.0
path=3542147899/api=apps/v1/kadalu/DaemonSet/kadalu-csi-nodeplugin,High,Writable hostPath mount,1,1,0.0
path=3542147899/api=apps/v1/kadalu/DaemonSet/kadalu-csi-nodeplugin,High,Insecure capabilities,1,1,0.0
path=2914628456/api=apps/v1//Deployment/chaos-exporter,High,Writable hostPath mount,0,1,1.0
path=2914628456/api=apps/v1//Deployment/chaos-exporter,High,Insecure capabilities,0,1,1.0
path=825557715/api=apps/v1//Deployment/argocd-notifications-controller,High,Writable hostPath mount,0,1,1.0
path=825557715/api=apps/v1//Deployment/argocd-notifications-controller,High,Insecure capabilities,0,1,1.0
path=2497000902/api=apps/v1//Deployment/litmusportal-frontend,High,Writable hostPath mount,0,1,1.0
path=2497000902/api=apps/v1//Deployment/litmusportal-frontend,High,Insecure capabilities,0,1,1.0
path=2622165986/api=apps/v1//Deployment/details-v1,High,Writable hostPath mount,0,1,1.0
path=2622165986/api=apps/v1//Deployment/details-v1,High,Insecure capabilities,0,1,1.0
